Row Labels,Affordable Housing,Alcohol Commercial,Auto Commercial,Banks and Lending,Care Commercial,Community Safety,Convenience Commercial,Education,Entertainment,Food Commercial,Gasoline Commercial,Health and Wellness,Hotel and Motel,Industrial,Infrastructure,Legal,Manufacturing,Mixed Use,Office Space,Public Space and Services,Religious,Residential,Retail Commercial,Shopping Center,Storage Commercial,Vacant Building,Grand Total,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars
1,0,3,70,2,0,0,0,0,3,4,3,1,3,0,19,0,10,22,10,12,0,74,3,2,41,30,312,544,92,57.4%,9.7%,50.4%,9.3%,12.2%,8.2%,380," $49,605.00 "," $16,898.00 "," $76,788.00 "," $15,164.00 "
2,3,7,16,0,0,2,4,0,1,4,1,2,1,0,2,0,3,28,0,3,1,1038,5,0,14,32,1167,2224,276,65.6%,6.9%,61.7%,7.1%,5.8%,4.1%,1311," $34,883.00 "," $2,715.00 "," $43,242.00 "," $5,336.00 "
3,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,634,0,0,0,3,644,1331,123,67.2%,6.2%,62.1%,6.1%,7.1%,2.7%,664," $50,244.00 "," $9,293.00 "," $57,044.00 "," $5,439.00 "
4,0,1,2,0,2,0,2,2,1,1,0,2,0,0,1,0,0,20,0,4,1,1445,1,0,0,6,1491,2942,252,63.7%,5.5%,57.6%,5.3%,7.9%,4.0%,1517," $40,387.00 "," $6,668.00 "," $53,851.00 "," $7,269.00 "
5.01,1,7,14,1,0,2,10,1,1,16,2,6,0,0,2,0,1,159,2,5,9,474,10,0,13,64,800,1471,231,56.6%,7.6%,46.7%,7.3%,17.4%,7.1%,858," $22,615.00 "," $5,135.00 "," $27,214.00 "," $4,437.00 "
6,0,1,0,0,0,0,3,1,0,2,1,1,1,0,1,0,0,22,0,1,7,748,0,0,1,6,796,2830,271,55.1%,7.8%,40.2%,8.1%,27.1%,8.9%,1437," $25,875.00 "," $2,940.00 "," $30,654.00 "," $4,690.00 "
7,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,6,0,476,0,0,0,1,490,1288,180,67.5%,6.7%,54.7%,8.1%,19.0%,10.0%,613," $36,648.00 "," $7,979.00 "," $47,742.00 "," $8,733.00 "
8,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,22,0,5,1,863,2,0,0,4,903,1818,219,70.1%,5.6%,64.3%,5.9%,8.3%,4.8%,960," $32,568.00 "," $7,743.00 "," $43,100.00 "," $7,514.00 "
9,1,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,2,1,2,1,1232,0,0,0,0,1244,2660,225,69.5%,4.5%,66.2%,4.4%,4.8%,2.3%,1362," $71,375.00 "," $11,018.00 "," $89,406.00 "," $9,646.00 "
10,0,3,1,4,0,0,1,1,1,12,1,2,0,0,2,2,0,32,4,5,4,1299,8,1,4,10,1397,3109,273,64.9%,5.6%,59.1%,6.9%,9.0%,5.0%,2022," $31,871.00 "," $4,330.00 "," $45,118.00 "," $8,167.00 "
14,0,1,0,0,0,0,5,1,0,4,0,0,0,0,0,0,0,22,1,1,1,628,2,0,1,9,676,2274,362,48.9%,7.6%,40.9%,6.5%,16.4%,6.4%,934," $20,423.00 "," $2,997.00 "," $32,252.00 "," $5,967.00 "
15,0,2,0,0,0,0,3,2,1,4,0,0,0,0,1,0,0,27,0,2,0,680,5,0,0,2,729,2332,280,51.3%,5.8%,41.7%,5.1%,18.7%,6.1%,942," $24,635.00 "," $4,406.00 "," $40,440.00 "," $4,564.00 "
16,2,0,2,2,5,0,2,1,4,5,0,9,0,0,2,1,1,37,21,11,1,140,3,0,1,9,259,2930,273,40.6%,5.9%,35.2%,5.6%,13.4%,7.1%,1759," $21,747.00 "," $3,089.00 "," $34,310.00 "," $8,265.00 "
17.01,0,1,4,0,2,2,1,0,1,2,0,0,1,0,2,0,1,16,1,2,3,747,0,0,10,8,804,1764,217,56.6%,8.3%,48.2%,8.0%,14.7%,7.7%,1001," $27,226.00 "," $9,899.00 "," $39,303.00 "," $6,664.00 "
17.02,0,2,2,0,0,0,1,1,2,4,0,2,0,0,0,0,0,15,2,1,2,963,1,0,3,0,1001,1963,219,75.9%,6.1%,72.8%,6.1%,3.7%,3.4%,1102," $44,437.00 "," $3,771.00 "," $51,042.00 "," $5,441.00 "
18,0,3,1,1,0,1,2,1,1,3,1,0,0,0,1,0,1,21,2,1,1,1062,3,0,2,5,1113,2339,223,68.5%,6.0%,64.8%,6.7%,4.5%,4.3%,1269," $44,449.00 "," $6,997.00 "," $53,330.00 "," $5,085.00 "
19,0,1,6,1,1,1,2,1,1,2,3,2,0,0,4,0,0,23,4,5,3,1581,1,0,3,2,1647,2890,204,64.7%,5.6%,57.7%,6.0%,10.8%,5.1%,1813," $39,945.00 "," $8,402.00 "," $47,916.00 "," $5,254.00 "
20,0,4,13,1,0,0,1,2,0,5,0,0,0,0,0,0,2,31,2,3,5,685,1,0,3,13,771,1679,158,61.4%,5.8%,56.2%,6.2%,8.4%,5.0%,948," $30,524.00 "," $4,294.00 "," $37,275.00 "," $5,244.00 "
21.01,0,6,46,1,0,2,4,4,4,7,3,4,0,0,4,0,2,53,9,6,11,742,2,0,20,38,968,2078,246,65.2%,6.5%,53.0%,6.0%,18.7%,6.0%,1072," $22,444.00 "," $7,645.00 "," $34,368.00 "," $5,218.00 "
23,5,1,1,0,0,1,4,0,1,18,2,19,0,0,1,0,2,69,5,1,4,196,10,1,0,3,344,1449,166,47.3%,6.1%,42.1%,6.2%,11.1%,5.6%,938," $19,537.00 "," $3,574.00 "," $35,465.00 "," $16,363.00 "
24,0,2,4,0,0,1,3,1,1,4,0,0,0,0,0,0,2,30,2,4,1,431,2,0,1,16,505,1318,205,60.7%,7.3%,52.7%,7.8%,13.1%,6.6%,751," $22,036.00 "," $4,422.00 "," $25,843.00 "," $3,377.00 "
27,0,0,0,0,0,0,2,0,0,6,0,2,0,0,0,0,0,29,0,3,6,594,0,0,0,5,647,1650,165,66.1%,6.7%,61.9%,6.3%,6.2%,3.6%,897," $33,317.00 "," $8,260.00 "," $46,537.00 "," $5,024.00 "
29.01,0,2,9,1,0,0,4,3,4,7,0,2,0,0,0,0,0,29,3,5,5,1118,4,1,4,15,1216,2235,216,80.9%,4.2%,76.3%,4.0%,5.6%,3.7%,1330," $50,323.00 "," $9,981.00 "," $58,051.00 "," $10,579.00 "
30,2,3,9,2,0,2,5,4,6,1,0,1,0,0,4,0,4,29,11,6,3,484,1,0,16,25,618,1306,145,41.4%,9.1%,33.0%,8.0%,20.3%,8.0%,842," $12,799.00 "," $2,823.00 "," $16,835.00 "," $2,731.00 "
32,1,21,38,17,1,6,2,5,8,50,1,5,12,0,12,7,1,72,91,35,7,49,32,0,2,35,510,2138,565,38.2%,10.7%,35.0%,9.8%,8.4%,5.5%,1059," $26,696.00 "," $28,749.00 "," $52,254.00 "," $15,433.00 "
34,5,0,12,0,0,1,3,5,5,6,0,14,2,0,2,1,3,19,5,9,3,230,5,0,15,10,355,1111,208,44.7%,10.3%,41.3%,10.5%,7.6%,6.2%,633," $14,969.00 "," $4,971.00 "," $22,970.00 "," $5,154.00 "
35,6,2,5,1,0,2,2,2,0,5,1,9,0,0,2,0,5,24,1,5,5,595,5,0,13,7,697,1713,234,58.1%,10.2%,50.0%,9.8%,14.1%,7.9%,947," $17,863.00 "," $4,674.00 "," $35,834.00 "," $7,625.00 "
36.01,0,0,6,0,0,1,3,0,6,5,0,0,0,0,0,0,1,5,3,0,2,731,1,0,6,5,775,1760,181,57.9%,6.3%,46.6%,5.9%,19.5%,7.1%,867," $25,750.00 "," $14,585.00 "," $36,577.00 "," $5,643.00 "
36.02,0,5,5,1,0,1,0,5,4,17,2,10,1,0,3,0,0,18,2,4,0,835,16,1,2,7,939,1741,145,70.4%,5.0%,61.6%,5.3%,12.4%,4.9%,957," $41,676.00 "," $6,519.00 "," $48,475.00 "," $4,779.00 "
