Row Labels,Affordable Housing,Alcohol Commercial,Auto Commercial,Banks and Lending,Care Commercial,Community Safety,Convenience Commercial,Education,Entertainment,Food Commercial,Gasoline Commercial,Health and Wellness,Hotel and Motel,Industrial,Infrastructure,Legal,Manufacturing,Mixed Use,Office Space,Public Space and Services,Religious,Residential,Retail Commercial,Shopping Center,Storage Commercial,Vacant Building,Grand Total,Population_16Plus,MOE_Population_16Plus,Population_LaborForce,MOE_Population_LaborForce,Population_Employed,MOE_Population_Employed,UnemploymentRate,MOE_UnemploymentRate,Households_Total,MedianIncome_dollars,MOE_MedianIncome_dollars,MeanIncome_dollars,MOE_MeanIncome_dollars
1,0,0.009615385,0.224358974,0.006410256,0,0,0,0,0.009615385,0.012820513,0.009615385,0.003205128,0.009615385,0,0.060897436,0,0.032051282,0.070512821,0.032051282,0.038461538,0,0.237179487,0.009615385,0.006410256,0.131410256,0.096153846,1,544,92,57.4%,9.7%,50.4%,9.3%,12.2%,8.2%,380," $49,605.00 "," $16,898.00 "," $76,788.00 "," $15,164.00 "
2,0.002570694,0.005998286,0.013710368,0,0,0.001713796,0.003427592,0,0.000856898,0.003427592,0.000856898,0.001713796,0.000856898,0,0.001713796,0,0.002570694,0.023993145,0,0.002570694,0.000856898,0.889460154,0.00428449,0,0.011996572,0.027420737,1,2224,276,65.6%,6.9%,61.7%,7.1%,5.8%,4.1%,1311," $34,883.00 "," $2,715.00 "," $43,242.00 "," $5,336.00 "
3,0,0,0.001552795,0,0,0,0.001552795,0.001552795,0.001552795,0.001552795,0,0,0,0,0.001552795,0,0,0.001552795,0,0,0,0.98447205,0,0,0,0.004658385,1,1331,123,67.2%,6.2%,62.1%,6.1%,7.1%,2.7%,664," $50,244.00 "," $9,293.00 "," $57,044.00 "," $5,439.00 "
4,0,0.000670691,0.001341382,0,0.001341382,0,0.001341382,0.001341382,0.000670691,0.000670691,0,0.001341382,0,0,0.000670691,0,0,0.013413816,0,0.002682763,0.000670691,0.969148223,0.000670691,0,0,0.004024145,1,2942,252,63.7%,5.5%,57.6%,5.3%,7.9%,4.0%,1517," $40,387.00 "," $6,668.00 "," $53,851.00 "," $7,269.00 "
5.01,0.00125,0.00875,0.0175,0.00125,0,0.0025,0.0125,0.00125,0.00125,0.02,0.0025,0.0075,0,0,0.0025,0,0.00125,0.19875,0.0025,0.00625,0.01125,0.5925,0.0125,0,0.01625,0.08,1,1471,231,56.6%,7.6%,46.7%,7.3%,17.4%,7.1%,858," $22,615.00 "," $5,135.00 "," $27,214.00 "," $4,437.00 "
6,0,0.001256281,0,0,0,0,0.003768844,0.001256281,0,0.002512563,0.001256281,0.001256281,0.001256281,0,0.001256281,0,0,0.027638191,0,0.001256281,0.00879397,0.939698492,0,0,0.001256281,0.007537688,1,2830,271,55.1%,7.8%,40.2%,8.1%,27.1%,8.9%,1437," $25,875.00 "," $2,940.00 "," $30,654.00 "," $4,690.00 "
7,0,0,0.002040816,0,0,0,0.006122449,0,0,0,0,0,0,0,0,0,0,0.006122449,0,0.012244898,0,0.971428571,0,0,0,0.002040816,1,1288,180,67.5%,6.7%,54.7%,8.1%,19.0%,10.0%,613," $36,648.00 "," $7,979.00 "," $47,742.00 "," $8,733.00 "
8,0,0.00110742,0,0,0,0,0,0,0.00110742,0.004429679,0,0,0,0,0,0,0,0.024363234,0,0.005537099,0.00110742,0.955703212,0.002214839,0,0,0.004429679,1,1818,219,70.1%,5.6%,64.3%,5.9%,8.3%,4.8%,960," $32,568.00 "," $7,743.00 "," $43,100.00 "," $7,514.00 "
9,0.000803859,0,0,0,0.000803859,0,0,0.001607717,0,0,0,0.001607717,0,0,0,0,0,0.001607717,0.000803859,0.001607717,0.000803859,0.990353698,0,0,0,0,1,2660,225,69.5%,4.5%,66.2%,4.4%,4.8%,2.3%,1362," $71,375.00 "," $11,018.00 "," $89,406.00 "," $9,646.00 "
10,0,0.002147459,0.00071582,0.002863278,0,0,0.00071582,0.00071582,0.00071582,0.008589835,0.00071582,0.001431639,0,0,0.001431639,0.001431639,0,0.022906228,0.002863278,0.003579098,0.002863278,0.929849678,0.005726557,0.00071582,0.002863278,0.007158196,1,3109,273,64.9%,5.6%,59.1%,6.9%,9.0%,5.0%,2022," $31,871.00 "," $4,330.00 "," $45,118.00 "," $8,167.00 "
14,0,0.00147929,0,0,0,0,0.00739645,0.00147929,0,0.00591716,0,0,0,0,0,0,0,0.032544379,0.00147929,0.00147929,0.00147929,0.928994083,0.00295858,0,0.00147929,0.013313609,1,2274,362,48.9%,7.6%,40.9%,6.5%,16.4%,6.4%,934," $20,423.00 "," $2,997.00 "," $32,252.00 "," $5,967.00 "
15,0,0.002743484,0,0,0,0,0.004115226,0.002743484,0.001371742,0.005486968,0,0,0,0,0.001371742,0,0,0.037037037,0,0.002743484,0,0.932784636,0.006858711,0,0,0.002743484,1,2332,280,51.3%,5.8%,41.7%,5.1%,18.7%,6.1%,942," $24,635.00 "," $4,406.00 "," $40,440.00 "," $4,564.00 "
16,0.007722008,0,0.007722008,0.007722008,0.019305019,0,0.007722008,0.003861004,0.015444015,0.019305019,0,0.034749035,0,0,0.007722008,0.003861004,0.003861004,0.142857143,0.081081081,0.042471042,0.003861004,0.540540541,0.011583012,0,0.003861004,0.034749035,1,2930,273,40.6%,5.9%,35.2%,5.6%,13.4%,7.1%,1759," $21,747.00 "," $3,089.00 "," $34,310.00 "," $8,265.00 "
17.01,0,0.001243781,0.004975124,0,0.002487562,0.002487562,0.001243781,0,0.001243781,0.002487562,0,0,0.001243781,0,0.002487562,0,0.001243781,0.019900498,0.001243781,0.002487562,0.003731343,0.929104478,0,0,0.012437811,0.009950249,1,1764,217,56.6%,8.3%,48.2%,8.0%,14.7%,7.7%,1001," $27,226.00 "," $9,899.00 "," $39,303.00 "," $6,664.00 "
17.02,0,0.001998002,0.001998002,0,0,0,0.000999001,0.000999001,0.001998002,0.003996004,0,0.001998002,0,0,0,0,0,0.014985015,0.001998002,0.000999001,0.001998002,0.962037962,0.000999001,0,0.002997003,0,1,1963,219,75.9%,6.1%,72.8%,6.1%,3.7%,3.4%,1102," $44,437.00 "," $3,771.00 "," $51,042.00 "," $5,441.00 "
18,0,0.002695418,0.000898473,0.000898473,0,0.000898473,0.001796945,0.000898473,0.000898473,0.002695418,0.000898473,0,0,0,0.000898473,0,0.000898473,0.018867925,0.001796945,0.000898473,0.000898473,0.954177898,0.002695418,0,0.001796945,0.004492363,1,2339,223,68.5%,6.0%,64.8%,6.7%,4.5%,4.3%,1269," $44,449.00 "," $6,997.00 "," $53,330.00 "," $5,085.00 "
19,0,0.000607165,0.003642987,0.000607165,0.000607165,0.000607165,0.001214329,0.000607165,0.000607165,0.001214329,0.001821494,0.001214329,0,0,0.002428658,0,0,0.013964784,0.002428658,0.003035823,0.001821494,0.95992714,0.000607165,0,0.001821494,0.001214329,1,2890,204,64.7%,5.6%,57.7%,6.0%,10.8%,5.1%,1813," $39,945.00 "," $8,402.00 "," $47,916.00 "," $5,254.00 "
20,0,0.005188067,0.016861219,0.001297017,0,0,0.001297017,0.002594034,0,0.006485084,0,0,0,0,0,0,0.002594034,0.040207523,0.002594034,0.003891051,0.006485084,0.88845655,0.001297017,0,0.003891051,0.016861219,1,1679,158,61.4%,5.8%,56.2%,6.2%,8.4%,5.0%,948," $30,524.00 "," $4,294.00 "," $37,275.00 "," $5,244.00 "
21.01,0,0.006198347,0.047520661,0.001033058,0,0.002066116,0.004132231,0.004132231,0.004132231,0.007231405,0.003099174,0.004132231,0,0,0.004132231,0,0.002066116,0.054752066,0.009297521,0.006198347,0.011363636,0.766528926,0.002066116,0,0.020661157,0.039256198,1,2078,246,65.2%,6.5%,53.0%,6.0%,18.7%,6.0%,1072," $22,444.00 "," $7,645.00 "," $34,368.00 "," $5,218.00 "
23,0.014534884,0.002906977,0.002906977,0,0,0.002906977,0.011627907,0,0.002906977,0.052325581,0.005813953,0.055232558,0,0,0.002906977,0,0.005813953,0.200581395,0.014534884,0.002906977,0.011627907,0.569767442,0.029069767,0.002906977,0,0.00872093,1,1449,166,47.3%,6.1%,42.1%,6.2%,11.1%,5.6%,938," $19,537.00 "," $3,574.00 "," $35,465.00 "," $16,363.00 "
24,0,0.003960396,0.007920792,0,0,0.001980198,0.005940594,0.001980198,0.001980198,0.007920792,0,0,0,0,0,0,0.003960396,0.059405941,0.003960396,0.007920792,0.001980198,0.853465347,0.003960396,0,0.001980198,0.031683168,1,1318,205,60.7%,7.3%,52.7%,7.8%,13.1%,6.6%,751," $22,036.00 "," $4,422.00 "," $25,843.00 "," $3,377.00 "
27,0,0,0,0,0,0,0.00309119,0,0,0.00927357,0,0.00309119,0,0,0,0,0,0.044822257,0,0.004636785,0.00927357,0.918083462,0,0,0,0.007727975,1,1650,165,66.1%,6.7%,61.9%,6.3%,6.2%,3.6%,897," $33,317.00 "," $8,260.00 "," $46,537.00 "," $5,024.00 "
29.01,0,0.001644737,0.007401316,0.000822368,0,0,0.003289474,0.002467105,0.003289474,0.005756579,0,0.001644737,0,0,0,0,0,0.023848684,0.002467105,0.004111842,0.004111842,0.919407895,0.003289474,0.000822368,0.003289474,0.012335526,1,2235,216,80.9%,4.2%,76.3%,4.0%,5.6%,3.7%,1330," $50,323.00 "," $9,981.00 "," $58,051.00 "," $10,579.00 "
30,0.003236246,0.004854369,0.014563107,0.003236246,0,0.003236246,0.008090615,0.006472492,0.009708738,0.001618123,0,0.001618123,0,0,0.006472492,0,0.006472492,0.046925566,0.017799353,0.009708738,0.004854369,0.783171521,0.001618123,0,0.025889968,0.040453074,1,1306,145,41.4%,9.1%,33.0%,8.0%,20.3%,8.0%,842," $12,799.00 "," $2,823.00 "," $16,835.00 "," $2,731.00 "
32,0.001960784,0.041176471,0.074509804,0.033333333,0.001960784,0.011764706,0.003921569,0.009803922,0.015686275,0.098039216,0.001960784,0.009803922,0.023529412,0,0.023529412,0.01372549,0.001960784,0.141176471,0.178431373,0.068627451,0.01372549,0.096078431,0.062745098,0,0.003921569,0.068627451,1,2138,565,38.2%,10.7%,35.0%,9.8%,8.4%,5.5%,1059," $26,696.00 "," $28,749.00 "," $52,254.00 "," $15,433.00 "
34,0.014084507,0,0.033802817,0,0,0.002816901,0.008450704,0.014084507,0.014084507,0.016901408,0,0.03943662,0.005633803,0,0.005633803,0.002816901,0.008450704,0.053521127,0.014084507,0.025352113,0.008450704,0.647887324,0.014084507,0,0.042253521,0.028169014,1,1111,208,44.7%,10.3%,41.3%,10.5%,7.6%,6.2%,633," $14,969.00 "," $4,971.00 "," $22,970.00 "," $5,154.00 "
35,0.008608321,0.00286944,0.007173601,0.00143472,0,0.00286944,0.00286944,0.00286944,0,0.007173601,0.00143472,0.012912482,0,0,0.00286944,0,0.007173601,0.034433286,0.00143472,0.007173601,0.007173601,0.853658537,0.007173601,0,0.018651363,0.010043042,1,1713,234,58.1%,10.2%,50.0%,9.8%,14.1%,7.9%,947," $17,863.00 "," $4,674.00 "," $35,834.00 "," $7,625.00 "
36.01,0,0,0.007741935,0,0,0.001290323,0.003870968,0,0.007741935,0.006451613,0,0,0,0,0,0,0.001290323,0.006451613,0.003870968,0,0.002580645,0.943225806,0.001290323,0,0.007741935,0.006451613,1,1760,181,57.9%,6.3%,46.6%,5.9%,19.5%,7.1%,867," $25,750.00 "," $14,585.00 "," $36,577.00 "," $5,643.00 "
36.02,0,0.005324814,0.005324814,0.001064963,0,0.001064963,0,0.005324814,0.004259851,0.018104366,0.002129925,0.010649627,0.001064963,0,0.003194888,0,0,0.019169329,0.002129925,0.004259851,0,0.889243876,0.017039404,0.001064963,0.002129925,0.007454739,1,1741,145,70.4%,5.0%,61.6%,5.3%,12.4%,4.9%,957," $41,676.00 "," $6,519.00 "," $48,475.00 "," $4,779.00 "
38,0,0.001369863,0.002739726,0,0.001369863,0.001369863,0.005479452,0.001369863,0.002739726,0.006849315,0.001369863,0,0,0,0.002739726,0,0,0.010958904,0,0.006849315,0.001369863,0.946575342,0.002739726,0,0,0.004109589,1,1883,216,51.5%,8.7%,39.4%,8.0%,23.4%,8.6%,936," $25,682.00 "," $9,498.00 "," $32,565.00 "," $6,614.00 "
39,0.005197505,0.001039501,0.002079002,0,0,0.001039501,0.005197505,0,0,0.001039501,0,0.001039501,0,0,0.001039501,0,0,0.015592516,0,0.007276507,0.007276507,0.940748441,0.001039501,0,0,0.01039501,1,2401,251,47.1%,7.0%,35.9%,5.9%,23.8%,6.3%,1242," $19,758.00 "," $6,165.00 "," $28,839.00 "," $4,166.00 "
40,0.006637168,0,0.004424779,0,0.002212389,0.002212389,0.008849558,0.004424779,0.017699115,0.006637168,0.002212389,0.002212389,0,0,0.002212389,0,0,0.057522124,0.004424779,0.011061947,0.011061947,0.816371681,0.008849558,0,0.004424779,0.026548673,1,1201,260,54.1%,10.9%,46.7%,10.1%,13.7%,9.0%,529," $29,438.00 "," $12,507.00 "," $40,729.00 "," $11,965.00 "
42,0.001303781,0.003911343,0.006518905,0,0,0,0.003911343,0.002607562,0.006518905,0.002607562,0.002607562,0.002607562,0,0,0.009126467,0,0.010430248,0.020860495,0.005215124,0.01303781,0.007822686,0.874837027,0.003911343,0,0.010430248,0.011734029,1,1444,121,55.3%,5.9%,33.7%,4.6%,39.0%,8.2%,933," $11,744.00 "," $1,463.00 "," $16,344.00 "," $2,516.00 "
43.01,0,0.025157233,0.031446541,0.012578616,0,0.006289308,0.012578616,0.062893082,0,0.012578616,0,0.044025157,0,0,0.012578616,0,0,0.025157233,0,0.006289308,0,0.735849057,0.012578616,0,0,0,1,1512,191,33.9%,8.0%,26.7%,7.6%,21.3%,9.2%,528," $9,268.00 "," $1,054.00 "," $23,893.00 "," $14,003.00 "
43.02,0.035019455,0.011673152,0.019455253,0.019455253,0.011673152,0.007782101,0.007782101,0.217898833,0.007782101,0.101167315,0,0.019455253,0.003891051,0,0.011673152,0,0,0.050583658,0.003891051,0.06614786,0.015564202,0.357976654,0.023346304,0.003891051,0,0.003891051,1,6678,532,31.6%,3.8%,24.0%,3.2%,23.8%,6.6%,475," $9,171.00 "," $1,324.00 "," $12,762.00 "," $2,994.00 "
44,0.162074554,0,0,0,0,0,0,0.004862237,0.001620746,0,0,0,0,0,0.001620746,0,0,0,0,0.006482982,0.001620746,0.82171799,0,0,0,0,1,1956,202,54.9%,6.8%,52.7%,6.6%,3.9%,3.0%,637," $19,844.00 "," $8,884.00 "," $60,753.00 "," $10,390.00 "
45,0.050420168,0.001292825,0,0.000646412,0.000646412,0,0.003878474,0,0.001292825,0.005171299,0,0,0,0,0.000646412,0,0,0.007110537,0,0.001939237,0.003232062,0.919198449,0.001939237,0,0.000646412,0.001939237,1,3687,442,65.1%,8.6%,61.5%,8.3%,5.1%,3.2%,1503," $48,380.00 "," $13,909.00 "," $60,331.00 "," $7,473.00 "
46,0,0,0.001025115,0,0.003075346,0,0.000512558,0.006150692,0.000512558,0.000512558,0.000512558,0.003587904,0,0,0.002562788,0,0,0.001025115,0.001537673,0.002050231,0.003587904,0.969759098,0.001025115,0,0,0.002562788,1,4479,327,59.2%,5.3%,54.5%,5.9%,7.8%,3.5%,1984," $73,000.00 "," $20,521.00 "," $100,256.00 "," $17,979.00 "
