p_id,fullname,swrshd,loc_type,loc_info,cap_area,year,latitute,longitude,type
1,City Lot #21 (Downtown Farmer's Market),Clinton,Intersection,W. Washington St. & Clinton St.,26250,2010,43.049682,-76.153589,Google
2,City Lot #3,Erie,Address,101 Oswego Blvd.,38500,2010,43.05147207,-76.15010571,AddressRangeInterpolation
3,Creekwalk: Jefferson to Walton,Clinton/Lower MIS,,,7000,2010,43.047326,-76.156341,Google
4,Creekwalk: Walton to Fayette,Clinton/Lower MIS,,,7000,2010,43.048392,-76.156824,Google
5,GIF - Dunbar Association,Midland,Address,1453 South State Street,15800,2010,43.03221134,-76.14626719,AddressRangeInterpolation
6,GIF - SUNY ESF Residence Hall,Midland,Address,142 Oakland St.,3500,2010,43.03382283,-76.14078062,AddressRangeInterpolation
7,GIF - Syracuse Model Neighborhood Corporation,Midland,Address,1721 & 1725 S Salina St and 188 - 124 W Castle St,22000,2010,43.029094,-76.146911,Google
8,GIF - St. Lucy's Church,Clinton,Address,316-320 Seymour Street,20000,2010,43.04249208,-76.16098751,AddressRangeInterpolation
9,Grand Ave Porous Concrete Sidewalk,,Address,100 Grand Ave.,,2010,43.04099619,-76.17209245,AddressRangeInterpolation
10,GIF - King & King Architects,Clinton,Address,358 W. Jefferson St.,11200,2010,43.04718919,-76.15787367,AddressRangeInterpolation
11,GIF - Jefferson Clinton Commons,Clinton,Address,500 South Clinton Street,17000,2010,43.04704192,-76.1536641,AddressRangeInterpolation
12,GIF - NWSI Lincoln Building,Clinton,Address,109 Otisco Street,27000,2010,43.04651539,-76.15908452,AddressRangeInterpolation
13,GIF - NWSI Artist Studio,Clinton,Intersection,Tully Street & Wyoming Street,7400,2010,43.045778,-76.15963,Google
14,Pearl Street Parking Lot,Franklin,Block,400 Block of Pearl St.,73000,2010,43.054449,-76.150489,Google
15,Rosamond Gifford Zoo: Primate Exhibit,Harbor Brook,Address,1 Conservation Place,,2010,43.04424356,-76.1799749,AddressRangeInterpolation
16,Townsend Street Parking Lot,Clinton,Address/Intersection,431 Harrison St. & Townsend St.,55000,2010,43.044484,-76.145233,Google
17,Tree Enhancement in Burnet Park,Harbor Brook,,Burnet Park Drive,,2010,43.041261,-76.185529,Google
18,Pass Arboretum Rain Gardens on Avery Ave,Harbor Brook,Intersection,Avery Ave between Tompkins St. & Bryant St.,39000,2011,43.044615,-76.189381,Google
19,Bellevue Academy Arbor Day Tree Planting,Midland,Address,1607 S. Geddes St.,,2011,43.03181753,-76.17526337,AddressRangeInterpolation
20,County Board of Elections Building,n/a,Address,1000 Erie Blvd. West,6000,2011,43.04818402,-76.17429483,AddressRangeInterpolation
