Rank,Origin,Total,Undergraduate,Graduate,Non-degree,OPT,Year
1,India,76503,12726,56397,0,0,2005
2,China,62582,9304,47617,0,0,2005
3,South Korea,59022,26946,24414,0,0,2005
4,Japan,38712,24759,8025,0,0,2005
5,Canada,28202,14257,12355,0,0,2005
6,Taiwan,27876,7961,16089,0,0,2005
7,Mexico,13931,8211,4154,0,0,2005
8,Turkey,11622,3649,6826,0,0,2005
9,Germany,8829,3464,3691,0,0,2005
10,Thailand,8765,2499,5158,0,0,2005
1,India,83833,12581,59570,979,10703,2006
2,China,67723,9988,47968,2596,7171,2006
3,South Korea,62392,28228,23950,5717,4497,2006
4,Japan,35282,22247,7008,3677,2350,2006
5,Taiwan ,29094,7330,16679,2092,2993,2006
6,Canada,28280,13546,12491,590,1653,2006
7,Mexico,13826,7985,4311,848,682,2006
8,Turkey,11506,3305,6587,717,897,2006
9,Thailand,8886,2344,5149,660,733,2006
10,Germany,8656,3218,3702,1309,427,2006
1,India,94563,13639,68069,2009,10846,2007
2,China,81127,16450,53047,3912,7718,2007
3,South Korea,69124,32934,24697,6528,4965,2007
4,Japan,33974,20831,6878,3806,2459,2007
5,Canada,29051,13623,13040,519,1869,2007
6,Taiwan ,29001,7531,16064,2228,3178,2007
7,Mexico,14837,8606,4540,884,807,2007
8,Turkey,12030,3679,6592,799,960,2007
9,Saudi Arabia,9873,5772,2307,1675,119,2007
10,Thailand,9004,2554,5045,610,795,2007
1,India,103260,15600,71019,1755,14886,2008
2,China,98235,26275,57452,6296,8212,2008
3,South Korea,75065,37078,25463,7390,5134,2008
4,Canada,29697,14261,13185,473,1778,2008
5,Japan,29264,16770,6287,3970,2237,2008
6,Taiwan,28065,7143,15332,2146,3444,2008
7,Mexico,14850,8934,4148,1044,724,2008
8,Vietnam,12823,9247,1944,1271,361,2008
9,Turkey,12148,4393,6838,937,1095,2008
10,Saudi Arabia,12661,7563,2903,2041,154,2008
1,China,127628,39921,66453,10251,11003,2009
2,India,104897,15192,68290,1758,19657,2009
3,South Korea,72153,36234,23386,6671,5862,2009
4,Canada,28145,13607,11950,619,1969,2009
5,Taiwan,26685,6609,14613,1894,3569,2009
6,Japan,24842,13063,5390,4321,2068,2009
7,Saudi Arabia,15810,8767,3474,3247,322,2009
8,Mexico,13450,7715,3911,1044,780,2009
9,Vietnam,13112,8864,2454,1278,516,2009
10,Turkey,12397,3656,6585,989,1167,2009
1,China,157558,56976,76830,10484,13268,2010
2,India,103895,14004,63624,1602,24665,2010
3,South Korea,73351,37944,22486,6895,6026,2010
4,Canada,27546,13154,11618,570,2204,2010
5,Taiwan,24818,5994,13269,1818,3737,2010
6,Saudi Arabia,22704,10946,4604,6772,382,2010
7,Japan,21290,10544,4650,4276,1820,2010
8,Vietnam,14888,11054,2420,894,520,2010
9,Mexico,13713,8163,3908,903,739,2010
10,Turkey,12184,3532,6435,1024,1193,2010
1,China,194029,74516,88429,12690,18394,2011
2,India,100270,13059,59014,1455,26742,2011
3,South Korea,72295,38232,21260,6996,5807,2011
4,Saudi Arabia,34139,14344,6133,13214,448,2011
5,Canada,26821,12866,11190,625,2140,2011
6,Taiwan,23250,6000,12007,1866,3377,2011
7,Japan,19966,9359,4403,4611,1593,2011
8,Vietnam,15572,11244,2649,864,815,2011
9,Mexico,13893,7564,4188,1096,1045,2011
10,Turkey,11973,3495,6198,989,1291,2011
1,China,274439,110550,115727,14761,33401,2012
2,India,102673,12677,61058,1242,27696,2012
3,South Korea,68047,36992,18894,5522,6639,2012
4,Saudi Arabia,53919,26865,11108,15172,774,2012
5,Canada,28304,13916,11207,613,2568,2012
6,Taiwan,21266,5886,10177,1663,3540,2012
7,Japan,19334,9155,3562,5159,1458,2012
8,Vietnam,16579,11886,2562,881,1250,2012
9,Mexico,14779,8311,4182,1080,1206,2012
10,Brazil,13286,5097,3118,4222,849,2012
